""	"rateTrain"	"rateAirplane"	"Attractiveness"	"ManipDest"	"ManipInfo"	"ManipTax"	"PreferTrain"	"PreferAirplane"	"ImportPrice"	"ImportTime"	"ImportComfort"	"SchipholTrain"	"SchipholCar"	"CO2Comp"	"CO2Comp5E"	"CO2Comp7E"	"CO2CompMax"	"Nep01"	"Nep02"	"Nep03"	"Nep04"	"Nep05"	"Bif01"	"Bif02"	"Bif03"	"Bif04"	"Bif05"	"Bif06"	"Bif07"	"Guilt01"	"Guilt02"	"Guilt03"	"Guilt04"	"Guilt05"	"Big01"	"Big02"	"Big03"	"Big04"	"Big05"	"Big06"	"Big07"	"Big08"	"Big09"	"Big10"	"dGender"	"YrBirth"	"dIBA"	"SatFac"	"HrPWork"	"HrVWork"	"HrClass"	"HrStud"	"cLiving"	"cLocate"	"dPreMas"	"dSports"	"dFraternity"	"dAssoc"	"dAbroad"	"CheckDest"	"CheckInfo"	"CheckTax"	"avgEnvironBelief"	"avgGuiltFeel"	"avgPersonal"	"f.ManipInfo"
"335"	0	100	83	"Londen"	2	2	75	25	70	65	24	2	5	2	2	2	0	5	1	5	7	1	2	1	2	1	1	1	2	1	1	5	5	5	3	5	4	5	3	4	2	5	4	5	1	2000	1	81	0	0	20	20	2	1	2	1	2	2	2	1	1	2	3.4	1	3.75	"No"
"336"	65	90	95	"Berlin"	2	3	75	46	86	80	77	1	1	2	1	1	10	3	2	1	6	7	2	1	2	1	2	1	1	2	2	4	4	5	1	4	1	4	2	5	1	2	2	3	1	1999	1	73	0	0	14	24	1	4	2	1	1	2	1	2	1	3	5	1.8	4.25	"No"
"337"	60	70	70	"Berlin"	2	2	55	70	60	77	72	2	3	1	1	2	5	3	6	2	3	6	2	1	1	1	1	1	1	2	1	4	3	4	2	5	3	5	1	5	1	4	1	5	1	1999	1	67	12	0	9	8	4	1	2	2	2	1	2	2	1	2	4.4	2	4.5	"No"
"338"	50	80	78	"Berlin"	1	3	20	88	88	71	32	3	3	1	1	1	15	6	3	3	6	6	1	1	2	2	2	2	2	2	2	4	4	4	2	4	3	1	2	4	2	4	4	4	1	1999	1	79	8	0	10	30	2	4	2	1	2	2	2	2	2	2	4.8	2	3.25	"Yes"
"339"	4	95	81	"Berlin"	2	3	NA	100	28	43	66	2	2	1	1	1	15	4	5	3	5	6	1	2	2	2	1	1	2	1	2	4	2	5	2	2	4	4	4	5	3	4	2	1	2	1999	1	64	5	0	10	10	1	2	2	1	1	2	2	2	1	3	4.2	2	3.5	"No"
"340"	90	10	66	"Berlin"	1	3	80	25	76	64	91	2	2	2	2	2	0	6	3	1	2	7	2	1	2	2	2	1	2	3	2	3	3	3	3	4	3	2	3	4	4	5	3	5	1	2000	2	6	3	0	2	6	2	1	2	2	2	2	2	2	2	3	6.2	2.8	3.25	"Yes"
"341"	15	85	70	"Londen"	1	2	NA	100	60	75	45	2	3	1	1	1	15	5	7	2	6	7	2	1	1	1	1	1	1	1	1	5	4	5	3	4	2	5	1	4	3	4	2	4	1	2000	1	75	15	0	8	15	3	3	2	2	2	2	2	1	2	2	4.2	1.2	3.875	"Yes"
"342"	30	70	40	"Londen"	2	2	80	20	90	50	80	4	3	1	1	1	10	2	1	3	5	7	2	1	2	1	2	1	1	1	2	5	4	5	5	4	4	2	4	3	2	4	5	4	1	1997	1	70	18	0	8	5	3	4	2	1	2	2	2	1	1	2	4.8	1.4	2.625	"No"
"343"	25	81	35	"Marseille"	1	3	50	50	83	38	51	3	3	1	1	1	20	5	2	2	1	6	2	1	1	1	1	1	1	3	3	3	3	3	5	5	3	4	4	3	3	4	3	4	1	2000	2	40	0	0	10	30	3	4	2	1	2	2	2	3	2	3	6	3	3.25	"Yes"
"344"	50	47	80	"Londen"	1	2	61	40	53	67	91	2	3	2	1	2	5	5	6	3	5	4	1	1	2	1	2	2	1	2	3	4	4	4	3	4	2	3	5	4	3	4	4	3	1	1999	1	70	12	0	4	12	1	2	2	1	1	2	1	1	2	2	3.8	2.2	3.375	"Yes"
"345"	60	84	90	"Londen"	1	2	26	75	91	36	9	3	5	2	1	1	10	5	3	2	4	5	2	2	2	1	1	2	2	2	4	2	2	4	3	5	2	4	2	5	3	4	2	5	2	2000	1	71	3	0	10	10	2	3	2	1	2	1	2	1	2	2	5	3.2	4	"Yes"
"346"	25	75	60	"Berlin"	1	3	29	71	50	58	49	3	3	2	2	2	2	6	4	4	5	7	2	1	2	1	2	1	1	1	5	3	2	5	4	4	2	2	4	4	3	4	4	4	2	2000	1	85	40	0	20	20	3	2	2	1	1	2	2	2	2	3	4.8	2.8	3.125	"Yes"
"347"	10	90	40	"Berlin"	2	1	40	70	70	50	50	2	2	2	2	2	25	6	2	1	4	6	1	1	1	1	1	2	1	1	1	5	4	5	4	5	1	5	5	3	3	4	1	3	1	1996	1	70	10	0	10	40	2	2	1	2	2	1	2	2	1	1	5.8	1.2	4	"No"
